id,tool,slug,title,description,version,status,public,settings,created_by,created_at,updated_at
29f1b262-816a-4347-b1a2-a13405744bc3,seedream4,celebrity-selfie-v1,"Celebrity Selfie (9:16, 4K)",,1,active,true,"{""seed"":1234,""size"":""4K"",""prompt"":""two people in a iphone selfie style"",""outputs"":4,""watermark"":false,""aspect_ratio"":""9:16"",""guidance_scale"":3,""ref_image_urls"":[""https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8ZG9nfGVufDB8fDB8fHww&fm=jpg&q=60&w=3000"",""https://images.unsplash.com/photo-1518717758536-85ae29035b6d?q=80&w=2400&auto=format&fit=crop""]}",,2025-10-13 11:49:55.279232+00,2025-10-13 11:49:55.279232+00
f64eb22f-f1e7-4233-ab6e-95a3021b23ef,seedream4,pet-photoshoot-v1,"Pet Photoshoot (9:16, 4K)",,1,active,true,"{""seed"":1234,""size"":""4K"",""prompt"":""Ultra-detailed pet portrait, studio lighting, crisp fur detail, soft background bokeh, artistic vogue style background"",""outputs"":4,""watermark"":false,""aspect_ratio"":""9:16"",""guidance_scale"":3,""ref_image_urls"":[""https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8ZG9nfGVufDB8fDB8fHww&fm=jpg&q=60&w=3000""],""negative_prompt"":""blurry, low-res, distorted""}",,2025-10-13 10:13:56.4901+00,2025-10-13 10:14:50.556815+00
